id,Quarter,PremiseType,AverageElectricConsumption,AverageBill
1,2015.1,HDB 1-Room,144.18,29.34
2,2015.2,HDB 1-Room,119.43,27.82
3,2015.3,HDB 1-Room,139.49,29.11
4,2015.4,HDB 1-Room,147.57,33.07
5,2016.1,HDB 1-Room,140.18,28.34
6,2016.2,HDB 1-Room,133.61,26.05
7,2016.3,HDB 1-Room,150.88,26.6
8,2016.4,HDB 1-Room,147.31,28.39
9,2017.1,HDB 1-Room,143.41,27.43
10,2017.2,HDB 1-Room,132.82,26.83
11,2017.3,HDB 1-Room,141.19,30.2
12,2017.4,HDB 1-Room,138.4,28.68
13,2018.1,HDB 1-Room,137.4,27.89
14,2018.2,HDB 1-Room,120.5,25.98
15,2018.3,HDB 1-Room,136.44,30.22
16,2018.4,HDB 1-Room,134.5,31.81
17,2019.1,HDB 1-Room,129.76,31.31
18,2019.2,HDB 1-Room,126.21,30.1
19,2019.3,HDB 1-Room,134.36,30.62
20,2019.4,HDB 1-Room,132.97,32.21
21,2020.1,HDB 1-Room,125.84,29.48
22,2020.2,HDB 1-Room,117.3,28.43
23,2020.3,HDB 1-Room,125.72,28.94
24,2020.4,HDB 1-Room,143.85,28.2
25,2021.1,HDB 1-Room,136.36,29.22
26,2021.2,HDB 1-Room,120.72,25.06
27,2021.3,HDB 1-Room,141.62,31.94
28,2021.4,HDB 1-Room,153.05,35.78
29,2015.1,HDB 2-Room,207.16,43.16
30,2015.2,HDB 2-Room,164.1,38.22
31,2015.3,HDB 2-Room,195.25,40.75
32,2015.4,HDB 2-Room,210.22,47.11
33,2016.1,HDB 2-Room,202.16,40.16
34,2016.2,HDB 2-Room,186.1,32.29
35,2016.3,HDB 2-Room,215.43,38.09
36,2016.4,HDB 2-Room,208,40.08
37,2017.1,HDB 2-Room,204.97,39.21
38,2017.2,HDB 2-Room,187.13,37.8
39,2017.3,HDB 2-Room,199.55,42.6
40,2017.4,HDB 2-Room,195.55,40.82
41,2018.1,HDB 2-Room,193.1,39.22
42,2018.2,HDB 2-Room,163.52,35.26
