id,quarter,energy_product,sub_product,value_ktoe,num_of_barrel,per_mmbtu,total_price
1,2015.1,natural gas,Pipeline NG,1783,243,2.275,552.83
2,2015.2,natural gas,Pipeline NG,1783,243,2.002,486.49
3,2015.3,natural gas,Pipeline NG,1783,243,2.24,544.32
4,2015.4,natural gas,Pipeline NG,1783,243,1.9,461.70
5,2016.1,natural gas,Pipeline NG,1854,253,1.816,459.45
6,2016.2,natural gas,Pipeline NG,1854,253,2.031,513.84
7,2016.3,natural gas,Pipeline NG,1854,253,2.06,521.18
8,2016.4,natural gas,Pipeline NG,1854,253,2.46,622.38
9,2017.1,natural gas,Pipeline NG,1785,243,2.21,537.03
10,2017.2,natural gas,Pipeline NG,1785,243,2.53,614.79
11,2017.3,natural gas,Pipeline NG,1785,243,2.604,632.77
12,2017.4,natural gas,Pipeline NG,1785,243,2,486.00
13,2018.1,natural gas,Pipeline NG,1777,242,2.21,534.82
14,2018.2,natural gas,Pipeline NG,1777,242,2.188,529.50
15,2018.3,natural gas,Pipeline NG,1777,242,2.2,532.40
16,2018.4,natural gas,Pipeline NG,1777,242,2.317,560.71
17,2019.1,natural gas,Pipeline NG,1642,224,2.117,474.21
18,2019.2,natural gas,Pipeline NG,1642,224,2.174,486.98
19,2019.3,natural gas,Pipeline NG,1642,224,1.859,416.42
20,2019.4,natural gas,Pipeline NG,1642,224,1.73,387.52
21,2020.1,natural gas,Pipeline NG,1510,210,1.516,318.36
22,2020.2,natural gas,Pipeline NG,1510,210,1.587,333.27
23,2020.3,natural gas,Pipeline NG,1510,210,1.573,330.33
24,2020.4,natural gas,Pipeline NG,1510,210,1.702,357.42
25,2021.1,natural gas,Pipeline NG,1455,198,1.788,354.02
26,2021.2,natural gas,Pipeline NG,1455,198,2.074,410.65
27,2021.3,natural gas,Pipeline NG,1455,198,2.146,424.91
28,2021.4,natural gas,Pipeline NG,1455,198,2.169,429.46
