id,quarter,temperature,,,,
1,2015.1,27.37,,,,
2,2015.2,28.77,,,,
3,2015.3,28.73,,,,
4,2015.4,28.13,,,,
5,2016.1,28.37,,,,
6,2016.2,29.07,,,,
7,2016.3,28.53,,,,
8,2016.4,27.7,,,,
9,2017.1,27.07,,,,
10,2017.2,28.27,,,,
11,2017.3,28.13,,,,
12,2017.4,27.33,,,,
13,2018.1,27.1,,,,
14,2018.2,28.53,,,,
15,2018.3,28.33,,,,
16,2018.4,27.6,,,,
17,2019.1,28.3,,,,
18,2019.2,28.77,,,,
19,2019.3,29.03,,,,
20,2019.4,27.6,,,,
21,2020.1,28.07,,,,
22,2020.2,28.63,,,,
23,2020.3,27.9,,,,
24,2020.4,27.57,,,,
25,2021.1,27.07,,,,
26,2021.2,28.47,,,,
27,2021.3,28.17,,,,
28,2021.4,27.93,,,,
