month,mean_temp
2005-01,26.6
2005-02,28.5
2005-03,28.5
2005-04,28.7
2005-05,28.5
2005-06,28.8
2005-07,28
2005-08,28.2
2005-09,28.2
2005-10,27.6
2005-11,27.3
2005-12,27.3
2006-01,26.5
2006-02,27.5
2006-03,28.3
2006-04,27.6
2006-05,28.1
2006-06,27.8
2006-07,28.4
2006-08,28.3
2006-09,28
2006-10,28.3
2006-11,27.3
2006-12,26.6
2007-01,26.5
2007-02,27.3
2007-03,27.5
2007-04,28.1
2007-05,28.3
2007-06,28.4
2007-07,27.7
2007-08,27.7
2007-09,27.8
2007-10,27.8
2007-11,26.9
2007-12,26.4
2008-01,26.8
2008-02,26.7
2008-03,26.5
2008-04,28.1
2008-05,28.8
2008-06,28.2
2008-07,27.8
2008-08,27.4
2008-09,27.7
2008-10,27.6
2008-11,27.3
2008-12,26.9
2009-01,26.8
2009-02,27.3
2009-03,27.2
2009-04,28.5
2009-05,28.7
2009-06,29.1
2009-07,28.3
2009-08,28.3
2009-09,28.3
2009-10,28.2
2009-11,27.2
2009-12,27.1
2010-01,27.5
2010-02,28.9
2010-03,28.6
2010-04,28.6
2010-05,29.2
2010-06,28.3
2010-07,27.7
2010-08,27.9
2010-09,28
2010-10,28.3
2010-11,27.4
2010-12,26.8
2011-01,26.3
2011-02,27.3
2011-03,27.1
2011-04,27.9
2011-05,28.5
2011-06,28.4
2011-07,28.7
2011-08,27.9
2011-09,27.8
2011-10,27.3
2011-11,27.1
2011-12,26.6
2012-01,26.7
2012-02,27.2
2012-03,27
2012-04,27.6
2012-05,28.2
2012-06,28.7
2012-07,27.7
2012-08,27.9
2012-09,27.9
2012-10,27.7
2012-11,27.1
2012-12,26.7
2013-01,27.1
2013-02,26.5
2013-03,28.3
2013-04,28.2
2013-05,28.2
2013-06,29
2013-07,27.8
2013-08,27.9
2013-09,27.5
2013-10,27.7
2013-11,27.1
2013-12,26.5
2014-01,26.2
2014-02,27.2
2014-03,27.9
2014-04,28.2
2014-05,28.6
2014-06,29
2014-07,28.7
2014-08,27.7
2014-09,28.5
2014-10,28.4
2014-11,27.5
2014-12,27
2015-01,26.9
2015-02,27
2015-03,28.2
2015-04,28.6
2015-05,28.7
2015-06,29
2015-07,29.1
2015-08,28.4
2015-09,28.7
2015-10,28.7
2015-11,28
2015-12,27.7
2016-01,28.3
2016-02,27.8
2016-03,29
2016-04,29.4
2016-05,29.3
2016-06,28.5
2016-07,28.4
2016-08,28.9
2016-09,28.3
2016-10,28.3
2016-11,27.4
2016-12,27.4
2017-01,26.9
2017-02,26.9
2017-03,27.4
2017-04,27.8
2017-05,28.5
2017-06,28.5
2017-07,28.3
2017-08,28.1
2017-09,28
2017-10,27.9
2017-11,27.1
2017-12,27
2018-01,26.1
2018-02,27.2
2018-03,28
2018-04,28.5
2018-05,28.7
2018-06,28.4
2018-07,28.5
2018-08,28.5
2018-09,28
2018-10,27.9
2018-11,27.3
2018-12,27.6
2019-01,28
2019-02,28.2
2019-03,28.7
2019-04,28.6
2019-05,29.3
2019-06,28.4
2019-07,29
2019-08,29.1
2019-09,29
2019-10,28.1
2019-11,28
2019-12,26.7
2020-01,27.7
2020-02,27.9
2020-03,28.6
2020-04,28.9
2020-05,28.9
2020-06,28.1
2020-07,27.9
2020-08,28.3
2020-09,27.5
2020-10,28.3
2020-11,27.2
2020-12,27.2
2021-01,26
2021-02,27.3
2021-03,27.9
2021-04,28.2
2021-05,28.7
2021-06,28.5
2021-07,28.6
2021-08,27.6
2021-09,28.3
2021-10,28.5
2021-11,27.6
2021-12,27.7
